Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,PssC_T1,PssC_T2,PssC_%_T1,PssC_%_T2,LngP_T1,LngP_T2,MdmP_T1,MdmP_T2,ShrP_T1,ShrP_T2,KPss_T1,KPss_T2,Rcv_T1,Rcv_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2019-2020,1,PARMA,JUVENTUS,24/08/2019,STADIUM ENNIO TARDINI,18:00,FABIO  MARESCA,FILIPPO  VALERIANI,PASQUALE  DE MEO,MARCO  PICCININI,PAOLO SILVIO  MAZZOLENI,RODOLFO DI VUOLO,0,1,A,ROBERTO D'AVERSA,MAURIZIO SARRI,4-3-3,4-3-3,99'07,45'25,46%,17'30 (39%),10'05 (58%),7'25 (42%),27'55 (61%),13'02 (47%),14'53 (53%),2'08,3'11,2'28,3'24,3'07,3'12,6'20,3'54,5'01,4'32,3'38,4'30,5,9,4(0),4(1),,1,3,2,1,5,3,4,2,7,,0,3,2,5,8,12,14,258,448,80%,86%,32,26,87,124,139,298,2,6,78,83,18,18,0 (0),0 (0),109.218,29.37,70.644,9.204,108.25,29.835,69.044,9.371,6.5,6.5,19 (50%),7 (18%),12 (32%),15 (27%),15 (28%),25 (45%),0/1,1/1,1/2,0/2,0/0,0/0,0/0,1/1,2/2,5/7,0/0,0/0,ROBERTO INGLESE,9,GIORGIO CHIELLINI,3,9,5.25,1.33
2019-2020,1,FIORENTINA,NAPOLI,24/08/2019,STADIUM ARTEMIO FRANCHI,20:45,DAVIDE  MASSA,ALBERTO  TEGONI,STEFANO  ALASSIO,DANIELE  DOVERI,PAOLO  VALERI,LUCA MONDIN,3,4,A,VINCENZO MONTELLA,CARLO ANCELOTTI,4-3-3,4-2-3-1,97'17,54'52,56%,25'24 (46%),14'44 (58%),10'40 (42%),29'28 (54%),18'32 (63%),10'56 (37%),3'51,4'13,4'07,4'44,4'03,4'26,3'05,4'45,4'25,5'54,5'21,5'58,10,8,6(3),6(4),1,1,3,2,4,2,2,3,5,6,2,3,1,,4,5,21,16,327,423,81%,85%,18,34,99,156,210,233,3,3,63,48,18,23,1 (1),1 (1),106.052,26.985,68.978,10.089,98.242,29.561,60.455,8.226,6.5,6,21 (46%),8 (17%),17 (37%),29 (58%),8 (16%),13 (26%),0/0,0/0,1/4,0/1,0/0,0/0,2/2,0/0,0/1,1/2,0/0,0/0,ERICK PULGAR,78,LORENZO INSIGNE,24,4.75,3.75,1.72
2019-2020,1,UDINESE,MILAN,25/08/2019,STADIUM DACIA ARENA - STADIO FRIULI,18:00,FABRIZIO  PASQUA,MAURO  VIVENZI,SERGIO  RANGHETTI,LORENZO  MAGGIONI,PIERO  GIACOMELLI,STEFANO DEL GIOVANE,1,0,H,IGOR TUDOR,MARCO GIAMPAOLO,3-4-2-1,4-3-1-2,100'12,51'10,51%,22'00 (43%),12'00 (55%),10'00 (45%),29'10 (57%),18'13 (62%),10'57 (38%),3'03,3'12,4'58,4'44,3'14,2'49,6'10,3'48,4'27,4'16,4'18,6'11,11,6,6(1),,0,0,2,,5,6,,5,3,1,1,,0,0,9,4,14,11,293,462,81%,86%,36,19,114,175,143,268,2,1,54,79,18,14,0 (0),0 (0),106.444,29.106,69.882,7.456,104.986,29.155,67.828,8.003,6.3,6.1,17 (39%),8 (18%),19 (43%),12 (27%),13 (30%),19 (43%),0/0,0/0,2/5,2/4,0/0,0/0,0/0,0/0,0/1,3/4,0/1,0/0,RODRIGO BECAO,50,SUSO,8,3.75,3.3,2.05
2019-2020,1,CAGLIARI,BRESCIA,25/08/2019,STADIUM SARDEGNA ARENA,20:45,EUGENIO  ABBATTISTA,GIACOMO  PAGANESSI,MARCO  BRESMES,LORENZO  ILLUZZI,LUCA  PAIRETTO,DAMIANO DI IORIO,0,1,A,ROLANDO MARAN,EUGENIO CORINI,4-3-1-2,4-3-1-2,100'27,49'45,50%,26'35 (53%),14'36 (55%),11'59 (45%),23'10 (47%),13'47 (59%),9'23 (41%),2'52,4'06,5'24,2'20,4'33,7'20,3'42,4'22,4'17,3'14,2'34,5'01,9,8,5(0),3(1),,1,3,2,4,5,2,4,5,2,,0,2,6,8,8,10,11,397,257,77%,67%,63,25,137,88,197,144,5,2,99,164,23,16,,1 (1),106.893,28.699,69.421,8.773,109.242,26.364,74.441,8.437,6.4,6.8,22 (41%),8 (15%),24 (44%),18 (40%),5 (11%),22 (49%),1/1,2/2,0/1,7/9,0/0,0/0,1/2,2/2,0/0,4/4,0/0,0/0,RADJA NAINGGOLAN,4,ALFREDO DONNARUMMA,9,1.83,3.6,4.33
2019-2020,1,HELLAS VERONA,BOLOGNA,25/08/2019,STADIUM MARCANTONIO BENTEGODI,20:45,ANTONIO  GIUA,GIORGIO  SCHENONE,DAVIDE  IMPERIALE,ANTONIO  DI MARTINO,LUIGI  NASCA,MAURO GALETTO,1,1,D,IVAN JURIC,SINISA MIHAJLOVIC,3-4-2-1,4-2-3-1,96'01,47'34,50%,11'02 (23%),7'20 (66%),3'42 (34%),36'32 (77%),13'54 (38%),22'38 (62%),2'44,1'17,1'47,0'37,1'19,3'18,4'13,4'35,5'55,10'53,4'25,6'31,5,14,2(1),5(1),1,1,0,3,3,9,4,1,2,8,0,0,2,1,1,6,12,13,118,523,60%,85%,21,36,34,170,63,317,1,7,120,34,22,13,,1 (1),96.316,26.672,63.801,5.843,104.452,29.998,68.238,6.216,6.4,6.3,16 (43%),8 (22%),13 (35%),19 (30%),9 (14%),36 (56%),0/0,1/1,1/1,0/0,0/1,0/0,0/0,1/1,1/1,5/5,1/3,4/7,MIGUEL VELOSO,4,NICOLA SANSONE,10,3.4,3.2,2.25
2019-2020,1,ROMA,GENOA,25/08/2019,STADIUM OLIMPICO,20:45,GIANPAOLO  CALVARESE,STEFANO  LIBERTI,DARIO  CECCONI,RICCARDO  ROS,GIANLUCA  AURELIANO,MATTEO PASSERI,3,3,D,PAULO FONSECA,AURELIO ANDREAZZOLI,4-2-3-1,3-5-2,98'19,48'21,49%,27'31 (57%),12'13 (44%),15'18 (56%),20'50 (43%),14'54 (72%),5'56 (28%),4'27,4'22,4'57,3'24,3'18,7'03,4'03,2'58,3'31,3'57,2'37,3'44,17,6,9(3),4(3),2,1,4,3,8,2,1,6,11,4,,2,,6,5,1,15,13,389,339,82%,78%,35,21,152,143,202,175,8,1,0,51,22,16,,1 (1),107.399,28.869,69.918,8.612,101.877,28.411,65.271,8.195,6.5,6.3,10 (18%),14 (25%),32 (57%),10 (26%),9 (24%),19 (50%),0/0,2/3,4/4,8/8,0/0,0/0,0/0,2/3,1/2,2/3,0/0,0/0,EDIN DZEKO,9,ANDREA PINAMONTI,99,1.45,4.2,8
2019-2020,1,SAMPDORIA,LAZIO,25/08/2019,STADIUM LUIGI FERRARIS,20:45,GIANLUCA  ROCCHI,FILIPPO  MELI,GIORGIO  PERETTI,MARCO  SERRA,LUCA  BANTI,ALESSIO TOLFO,0,3,A,EUSEBIO DI FRANCESCO,SIMONE INZAGHI,4-3-3,3-5-2,93'52,53'08,57%,24'20 (46%),11'21 (47%),12'59 (53%),28'48 (54%),15'44 (55%),13'04 (45%),3'46,3'36,4'50,4'09,2'54,5'05,5'06,3'36,3'03,4'36,5'18,7'09,12,16,8(0),10(3),0,0,2,8,4,6,7,8,4,11,,3,1,6,5,9,13,11,374,372,83%,83%,22,46,132,150,220,176,4,8,64,83,19,20,0 (0),0 (0),103.824,28.478,67.366,7.98,107.946,28.648,70.681,8.617,6.4,6.7,15 (29%),12 (23%),25 (48%),22 (44%),7 (14%),21 (42%),0/0,0/0,1/1,2/4,0/1,0/2,0/0,0/0,2/2,4/5,1/2,0/0,MANOLO GABBIADINI,23,CIRO IMMOBILE,17,3.5,3.4,2.05
2019-2020,1,SPAL,ATALANTA,25/08/2019,STADIUM PAOLO MAZZA,20:45,GIANLUCA  MANGANIELLO,DOMENICO  ROCCA,ORESTE  MUTO,NICCOLO'  BARONI,DANIELE  CHIFFI,ALESSANDRO LO CICERO,2,3,A,LEONARDO SEMPLICI,GIAN PIERO GASPERINI,3-5-2,3-5-2,95'49,50'14,52%,21'34 (43%),11'02 (51%),10'32 (49%),28'40 (57%),11'37 (41%),17'03 (59%),3'47,2'47,4'33,2'50,1'52,5'45,4'08,3'36,6'01,4'20,6'57,3'38,8,18,3(2),14(3),0,0,3,8,5,4,10,1,3,11,2,2,2,2,2,10,13,16,252,395,71%,79%,23,30,93,157,136,208,1,8,139,62,15,29,0 (0),0 (0),109.524,28.667,72.24,8.617,107.426,29.406,69.305,8.715,6.9,6.7,14 (34%),14 (34%),13 (32%),32 (58%),9 (17%),14 (25%),0/0,0/0,0/1,2/4,0/0,0/0,0/0,0/0,6/7,3/3,0/0,0/0,FEDERICO DI FRANCESCO,31,LUIS MURIEL,9,4.75,3.75,1.72
2019-2020,1,TORINO,SASSUOLO,25/08/2019,STADIUM OLIMPICO GRANDE TORINO,20:45,MICHAEL  FABBRI,ANTONIO  SANTORO,GIOVANNI  BACCINI,DAVIDE  GHERSINI,ROSARIO  ABISSO,SALVATORE LONGO,2,1,H,WALTER MAZZARRI,ROBERTO DE ZERBI,3-5-2,4-3-3,96'15,42'29,44%,17'52 (42%),8'17 (46%),9'35 (54%),24'37 (58%),11'03 (45%),13'34 (55%),2'46,2'56,3'26,2'59,3'12,2'33,2'42,4'12,3'25,4'40,4'31,5'07,8,13,5(2),9(1),0,0,4,5,3,4,7,2,6,11,1,,3,,6,6,21,15,180,433,69%,81%,25,26,50,176,105,231,4,10,89,32,20,24,0 (0),0 (0),99.917,31.791,59.382,8.744,100.07,29.741,62.798,7.531,6.1,6.1,14 (33%),8 (19%),20 (48%),18 (32%),15 (27%),23 (41%),0/1,0/2,2/5,5/7,0/0,0/0,0/0,0/2,0/4,2/4,0/0,0/0,ANDREA BELOTTI,9,FRANCESCO CAPUTO,9,1.85,3.5,4.33
2019-2020,1,INTER,LECCE,26/08/2019,STADIUM GIUSEPPE MEAZZA,20:45,FEDERICO  LA PENNA,ALESSANDRO  GIALLATINI,EMANUELE  PRENNA,MANUEL  VOLPI,PAOLO SILVIO  MAZZOLENI,VALENTINO FIORITO,4,0,H,ANTONIO CONTE,FABIO LIVERANI,3-5-2,4-3-1-2,90'07,46'57,52%,30'50 (66%),14'44 (48%),16'06 (52%),16'07 (34%),8'31 (53%),7'36 (47%),5'13,6'23,4'24,4'24,6'23,4'03,2'34,2'36,4'02,3'52,1'20,1'43,16,10,7(4),4(0),0,0,3,1,9,6,2,3,12,3,2,,5,,7,7,14,8,497,292,89%,81%,48,27,191,91,258,174,10,3,69,59,17,16,0 (0),0 (0),107.155,26.336,73.023,7.796,102.574,27.281,68.157,7.136,6.8,6.7,19 (39%),15 (30%),15 (31%),17 (41%),5 (13%),19 (46%),0/1,0/0,2/7,8/13,0/0,0/0,0/0,0/0,3/5,5/10,0/0,0/0,ANTONIO CANDREVA,87,GIANLUCA LAPADULA,9,1.22,6.25,13
